,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
31,2014-10-17,199.53233460185325,-1882.2712505400375,2081.532594465392,199.53233460185325,199.53233460185325,-106.27955372533077,-106.27955372533077,-106.27955372533077,12.319763637882428,12.319763637882428,12.319763637882428,-118.5993173632132,-118.5993173632132,-118.5993173632132,0.0,0.0,0.0,93.25278087652248
32,2014-10-18,199.94278672048068,-1725.187972972858,2134.1245722030276,199.94278672048068,199.94278672048068,-65.2893935522735,-65.2893935522735,-65.2893935522735,11.842181351980146,11.842181351980146,11.842181351980146,-77.13157490425364,-77.13157490425364,-77.13157490425364,0.0,0.0,0.0,134.65339316820717
33,2014-10-19,200.35323883910814,-1820.386398549862,2117.154533129865,200.35323883910814,200.35323883910814,-30.842806260909224,-30.842806260909224,-30.842806260909224,1.8510311181894767,1.8510311181894767,1.8510311181894767,-32.6938373790987,-32.6938373790987,-32.6938373790987,0.0,0.0,0.0,169.51043257819893
34,2014-10-20,200.7636909577356,-1665.3535882259932,2272.6527849984054,200.7636909577356,200.7636909577356,-2.5844932501845377,-2.5844932501845377,-2.5844932501845377,-16.764356812139678,-16.764356812139678,-16.764356812139678,14.17986356195514,14.17986356195514,14.17986356195514,0.0,0.0,0.0,198.17919770755105
35,2014-10-21,201.17414307636304,-1598.7176533144286,2207.083372580907,201.17414307636304,201.17414307636304,57.760309712992296,57.760309712992296,57.760309712992296,-5.129101086948761,-5.129101086948761,-5.129101086948761,62.88941079994105,62.88941079994105,62.88941079994105,0.0,0.0,0.0,258.9344527893553
36,2014-10-22,201.5845951949905,-1557.6316775522264,2223.434633324312,201.5845951949905,201.5845951949905,110.82829231099154,110.82829231099154,110.82829231099154,-1.9526767923145574,-1.9526767923145574,-1.9526767923145574,112.78096910330612,112.78096910330612,112.78096910330612,0.0,0.0,0.0,312.41288750598204
37,2014-10-23,201.99504731361793,-1640.3725406204005,2283.9336872388903,201.99504731361793,201.99504731361793,160.99440664281738,160.99440664281738,160.99440664281738,-2.1668414166443775,-2.1668414166443775,-2.1668414166443775,163.16124805946177,163.16124805946177,163.16124805946177,0.0,0.0,0.0,362.98945395643534
38,2014-10-24,202.4054994322454,-1542.6372713303624,2451.7085574154835,202.4054994322454,202.4054994322454,225.63309496815526,225.63309496815526,225.63309496815526,12.31976363787898,12.31976363787898,12.31976363787898,213.31333133027627,213.31333133027627,213.31333133027627,0.0,0.0,0.0,428.03859440040065
39,2014-10-25,202.81595155087282,-1493.2037927897113,2375.495239165771,202.8159515508728,202.8159515508728,274.3558708949363,274.3558708949363,274.3558708949363,11.842181351973347,11.842181351973347,11.842181351973347,262.51368954296294,262.51368954296294,262.51368954296294,0.0,0.0,0.0,477.1718224458091
40,2014-10-27,203.63685578812772,-1161.341535356106,2512.0166110920604,203.63685578812772,203.63685578812772,338.47460731565417,338.47460731565417,338.47460731565417,-16.764356812150687,-16.764356812150687,-16.764356812150687,355.2389641278049,355.2389641278049,355.2389641278049,0.0,0.0,0.0,542.111463103782
